,Unnamed: 0.1,name,province,climate_id,station_id,wmo_id,tc_id,latitude_decimal_degrees,longitude_decimal_degrees,latitude,longitude,elevation_m,start_date,end_date,h_rain_nan,T_low_nan,date_nan,h_snow_nan,T_high_nan,h_all_precip_nan,T_high_avg_nan,T_min_nan,T_low_avg_nan,T_max_nan,period_T_low_nan,period_T_high_nan,T_min_year_nan,day_nan,T_max_year_nan,month_nan,alm_stn_id,alm_stn_dist,norm_stn_id,norm_stn_dist
1418,1418,POCKWOCK LAKE,NOVA SCOTIA,8204453,6435,,,44.77,-63.83,444600000.0,-635000000.0,164.6,1979.0,2015.0,294.0,294.0,0.0,294.0,294.0,294.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6435.0,0.0,6435.0,0.0
1419,1419,PORT HAWKESBURY,NOVA SCOTIA,8204495,48668,71041.0,YPD,45.66,-61.37,453924000.0,-612205000.0,114.9,2010.0,2015.0,730.0,96.0,0.0,730.0,102.0,110.0,366.0,0.0,366.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6441.0,4.072758005222783,6442.0,1.357507973006706
1420,1420,SABLE ISLAND,NOVA SCOTIA,8204700,6454,71600.0,ESA,43.93,-60.01,435556000.0,-600034000.0,5.0,1891.0,2015.0,730.0,133.0,0.0,730.0,145.0,181.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6454.0,0.0,6454.0,0.0
1421,1421,ST MARGARET'S BAY,NOVA SCOTIA,8204800,6456,,,44.7,-63.9,444200000.0,-635400000.0,17.4,1922.0,2015.0,84.0,83.0,0.0,84.0,84.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6456.0,0.0,6456.0,0.0
1422,1422,ST PAUL ISLAND (AUT),NOVA SCOTIA,8204909,9033,71418.0,WEF,47.23,-60.14,471358002.0,-600840001.0,27.0,1993.0,2015.0,730.0,69.0,0.0,730.0,71.0,730.0,366.0,0.0,366.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6434.0,66.11531491422704,6368.0,67.44893438376376
1424,1424,SHEARWATER RCS,NOVA SCOTIA,8205092,47187,71264.0,AAW,44.63,-63.51,443747000.0,-633048000.0,24.0,2008.0,2015.0,730.0,66.0,0.0,730.0,72.0,83.0,366.0,0.0,366.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6465.0,0.7935263680610111,6465.0,0.7935263680610111
1426,1426,SYDNEY CS,NOVA SCOTIA,8205702,44503,71758.0,AQY,46.16,-60.04,460948000.0,-600230000.0,62.5,2006.0,2015.0,730.0,65.0,0.0,730.0,72.0,81.0,366.0,0.0,366.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6486.0,1.3535222611759792,6486.0,1.3535222611759792
1427,1427,TATAMAGOUCHE,NOVA SCOTIA,8205774,6927,,,45.68,-63.23,454100000.0,-631400000.0,18.0,1993.0,2015.0,74.0,73.0,0.0,74.0,74.0,74.0,366.0,0.0,366.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6407.0,28.29487361156674,6407.0,28.29487361156674
1428,1428,TRACADIE,NOVA SCOTIA,8205895,41575,71308.0,XTD,45.61,-61.68,453630080.0,-614047020.0,66.67,2003.0,2015.0,730.0,66.0,0.0,730.0,70.0,93.0,366.0,0.0,366.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6441.0,21.950553296457507,6442.0,23.812081752824025
1429,1429,WATERVILLE CAMBRIDGE,NOVA SCOTIA,8206222,6497,,,45.05,-64.65,450300000.0,-643900000.0,30.6,1980.0,2015.0,69.0,69.0,0.0,69.0,69.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6497.0,0.0,6497.0,0.0
