,name,province,climate_id,station_id,wmo_id,tc_id,latitude_decimal_degrees,longitude_decimal_degrees,latitude,longitude,elevation_m,start_date,end_date,h_rain_nan,T_low_nan,date_nan,h_snow_nan,T_high_nan,h_all_precip_nan,T_high_avg_nan,T_min_nan,T_low_avg_nan,T_max_nan,period_T_low_nan,period_T_high_nan,T_min_year_nan,day_nan,T_max_year_nan,month_nan,alm_stn_id,alm_stn_dist,norm_stn_id,norm_stn_dist,temp_nan_post_fill,precip_nan_post_fill
199,HOPE SLIDE,BRITISH COLUMBIA,1113581,951,,WKV,49.27,-121.23,491600000.0,-1211400000.0,685.0,1969.0,2015.0,66.0,65.0,0.0,66.0,66.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,951.0,0.0,951.0,0.0,65.0,66.0
200,LILLOOET,BRITISH COLUMBIA,1114619,27388,71999.0,WKF,50.68,-121.93,504101420.0,-1215602945.0,239.5,1997.0,2015.0,730.0,65.0,0.0,730.0,68.0,313.0,366.0,0.0,366.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,960.0,1.31800745792251,960.0,1.31800745792251,65.0,92.0
201,LYTTON A,BRITISH COLUMBIA,1114738,51598,71812.0,WLY,50.22,-121.58,501328000.0,-1213455000.0,224.9,2013.0,2015.0,730.0,80.0,0.0,730.0,87.0,95.0,365.0,0.0,365.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,963.0,1.1123339759444368,963.0,1.1123339759444368,65.0,66.0
202,LYTTON 2,BRITISH COLUMBIA,1114745,966,,,50.26,-121.61,501525000.0,-1213628000.0,174.0,1917.0,2015.0,688.0,730.0,0.0,688.0,730.0,688.0,366.0,0.0,366.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,963.0,3.964205604061197,966.0,0.0,65.0,66.0
203,LYTTON RCS,BRITISH COLUMBIA,1114746,44927,71765.0,VLY,50.22,-121.58,501328000.0,-1213455000.0,225.0,2006.0,2015.0,730.0,69.0,0.0,730.0,73.0,197.0,366.0,0.0,366.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,963.0,1.1123339759444368,963.0,1.1123339759444368,65.0,66.0
204,HEDLEY N,BRITISH COLUMBIA,1123370,46027,,,49.36,-120.07,492149400.0,-1200408200.0,542.0,2007.0,2015.0,120.0,120.0,0.0,120.0,120.0,120.0,366.0,0.0,366.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,995.0,0.7264298542960865,995.0,0.7264298542960865,65.0,65.0
205,HEDLEY NP MINE,BRITISH COLUMBIA,1123390,996,,,49.37,-120.02,492210020.0,-1200118070.0,1651.0,1904.0,2015.0,325.0,325.0,0.0,325.0,325.0,325.0,366.0,0.0,366.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,995.0,4.497807979384005,996.0,0.0,65.0,65.0
206,JELLICOE,BRITISH COLUMBIA,1123721,27122,,,49.67,-120.33,494022000.0,-1201958000.0,929.0,1995.0,2015.0,80.0,81.0,0.0,80.0,80.0,80.0,366.0,0.0,366.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,987.0,4.914496894665978,6834.0,25.774426365794405,65.0,65.0
207,KELOWNA,BRITISH COLUMBIA,1123939,48369,71203.0,YLW,49.96,-119.38,495726000.0,-1192240000.0,433.1,2009.0,2015.0,730.0,105.0,0.0,730.0,109.0,136.0,366.0,0.0,366.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1001.0,0.0,1001.0,0.0,65.0,66.0
208,KELOWNA UBCO,BRITISH COLUMBIA,1123996,51117,71644.0,VKU,49.94,-119.4,495626700.0,-1192400760.0,456.0,2012.0,2015.0,730.0,65.0,0.0,730.0,68.0,77.0,365.0,0.0,365.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1001.0,2.6474617808729555,10976.0,1.1122800378086215,65.0,66.0
209,KELOWNA MWS0,BRITISH COLUMBIA,11239R0,10976,,,49.95,-119.4,495700000.0,-1192400000.0,456.0,1994.0,2015.0,78.0,78.0,0.0,78.0,78.0,78.0,366.0,0.0,366.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1001.0,1.8157980129078133,10976.0,0.0,65.0,66.0
